time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-06T21:52:59.301Z,-13.5766,-111.1482,10,5.6,mww,102,110,13.587,0.92,us,us6000nwyj,2024-10-07T21:56:04.868Z,"central East Pacific Rise",earthquake,12.59,1.879,0.073,18,reviewed,us,us
2024-10-06T21:50:49.646Z,-20.7275,-174.2397,10,5,mb,24,108,0.931,0.77,us,us6000nwyi,2024-10-06T22:08:09.040Z,"97 km ENE of Kolonga, Tonga",earthquake,9.48,1.897,0.126,20,reviewed,us,us
2024-10-06T21:35:03.675Z,-33.4255,-178.474,10,4.9,mb,30,109,4.178,0.98,us,us6000nwyc,2024-10-06T21:51:54.040Z,"south of the Kermadec Islands",earthquake,10.09,1.908,0.122,21,reviewed,us,us
2024-10-06T20:40:19.924Z,-20.3142,-69.9777,56.507,3.9,mb,14,88,0.15,0.35,us,us6000nwxz,2024-10-07T16:44:01.051Z,"14 km ESE of Alto Hospicio, Chile",earthquake,5.65,5.559,0.512,1,reviewed,us,us
2024-10-06T20:04:07.172Z,-4.9771,102.8475,59.093,4.5,mb,40,99,0.622,0.73,us,us6000nwxw,2024-10-06T20:36:59.040Z,"114 km SSW of Pagar Alam, Indonesia",earthquake,8.14,7.072,0.108,25,reviewed,us,us
2024-10-06T19:20:10.950Z,65.3207,-147.776,25.5,2.7,ml,,,,0.95,ak,ak024cvdwpxj,2024-10-06T19:48:32.040Z,"41 km N of Fox, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-10-06T19:14:21.494Z,-15.9664,-74.5975,35,4.4,mb,28,152,4.515,0.95,us,us6000nwxl,2024-10-06T19:32:12.040Z,"31 km SW of Atiquipa, Peru",earthquake,5.77,1.925,0.112,23,reviewed,us,us
2024-10-06T18:40:28.800Z,37.2203,-114.9803,10.9,3,ml,17,93.17,0.195,0.1352,nn,nn00885633,2024-10-07T05:25:27.370Z,"22 km SE of Alamo, Nevada",earthquake,,3.6,0.57,12,reviewed,nn,nn
2024-10-06T18:19:53.418Z,17.3515,-98.314,42.204,4.1,mb,27,203,0.32,0.63,us,us6000nwxg,2024-10-06T20:05:49.535Z,"3 km SE of Tlahuapa, Mexico",earthquake,6.4,8.755,0.073,52,reviewed,us,us
2024-10-06T17:56:25.706Z,64.8464,-17.6755,10,5.1,mww,65,102,1.566,0.44,us,us6000nwxc,2024-10-06T18:23:45.040Z,"95 km SSE of Akureyri, Iceland",earthquake,9.81,1.9,0.052,36,reviewed,us,us
2024-10-06T17:20:32.193Z,60.8806,-141.4641,13.3,3.7,ml,,,,0.68,ak,ak024cvcpwds,2024-10-06T19:36:05.453Z,"99 km SE of McCarthy, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2024-10-06T17:20:03.210Z,38.6405,141.7572,57.641,4.6,mb,28,142,2.212,0.41,us,us6000nwx8,2024-10-06T17:38:09.040Z,"34 km NE of Onagawa Chō, Japan",earthquake,6.66,8.937,0.152,13,reviewed,us,us
2024-10-06T17:10:03.972Z,9.1287,40.3209,10,4.9,mb,67,74,3.445,0.48,us,us6000nwx4,2024-10-08T11:19:58.649Z,"23 km NE of Āwash, Ethiopia",earthquake,8.83,1.856,0.069,65,reviewed,us,us
2024-10-06T16:47:42.613Z,-17.7267,-178.1744,582.698,4.4,mb,23,96,3.596,0.51,us,us6000nwx2,2024-10-06T17:10:05.040Z,"268 km E of Levuka, Fiji",earthquake,13.46,15.05,0.123,19,reviewed,us,us
2024-10-06T15:57:26.260Z,18.6671666666667,-65.1955,59.52,3.21,md,13,221,0.3672,0.15,pr,pr71461933,2024-10-06T16:18:59.870Z,"41 km NNE of Culebra, Puerto Rico",earthquake,1.95,1.64,0.0683436291520987,4,reviewed,pr,pr
2024-10-06T15:41:51.096Z,58.7393,-153.2794,54.5,2.7,ml,,,,0.62,ak,ak024cvbnklw,2024-10-06T16:00:37.040Z,"78 km NNW of Aleneva, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-10-06T15:07:23.601Z,53.2185,-167.1107,48.174,4.3,mb,38,163,0.518,0.83,us,us6000nwws,2024-10-06T19:28:22.887Z,"82 km SSW of Unalaska, Alaska",earthquake,5.17,9.237,0.072,55,reviewed,us,us
2024-10-06T14:33:52.312Z,-17.7396,-178.4677,594.215,4.3,mb,16,123,3.316,0.46,us,us6000nwwl,2024-10-06T14:49:45.040Z,"237 km E of Levuka, Fiji",earthquake,19.63,12.559,0.153,12,reviewed,us,us
